Content,Rate
Belle terasse avec vue sympa sur cathédrale mais restauration moyenne avec prix élevés surtout pour du surgelé. Service impersonnel,3
"C'était super sympa ..!!  Superbe adresse! Le service est parfait, le patron est très sympathique. On y mange très bien. Petit resto tres sympa! J y retournerai!",4
"Le seul point positif est la localisation de ce restaurant avec sa terrasse .  Mauvais service , Le serveur est complètement débordé . Nourriture sous la barre du moyen (avons mangé moules et crêpes (sec et sans goût pour les deux plats ))",1
"C'est  la troisième fois que j'y vais et j'ai toujours plaisir d'y manger. Terrasse agréable loin du trafic de la circulation, au calme.",5
"N'Y ALLEZ PAS !!! Une carte qui annonce des alcools qui ne sont pas servis mais remplacés par des ""imitations"" pour des prix chers ! Toilettes payantes.  Pas de bar : soit disant l'alcool vient de cuves ... alors qu'au départ le responsable devait m'amener...",1
"cuisine familiale, service rapide et gentillesse du personnel. je reprocherais l'étroitesse des places assises, les serveurs dansent au milieu des tables pour arriver à servir. Le repas entrée, plat et dessert pour 15€ par personne est très correct, ce n'est pas de la gastronomie mais...",4
"Placé dans un endroit difficile d'accès, même pour le serveur, alors qu'il y avait des places partout. Soupe : en brique, ne pas hésiter à touiller pour finir de la rendre liquide. Spaghettis Bolognaise : digne d'un restaurant scolaire basique. Service : le sourire est...",2
"Attention toilettes payantes 50 centimes sans savon pour les mains. Chocolat chaud 5,80 et grog 8 euros ils pourraient faire gratuit pour les clients avec un code sur le ticket de caisse.",1
"Horrible ? Je mot est faible. Pourquoi n'est-il pas possible de mettre 0/5 sur TripAdvisor ? Si vous n'avez pas le temps de lire tout le commentaire, une phrase à retenir : Prix excessifs et serveur détestable. Nous y sommes allé entre amis pour boire...",1
Des serveurs tout simplement détestable avec un service plus que douteux. C'est un scandale de payer une bière 8euros50 dans des verres même pas essuyé. Une terrasse de rêve tenu par un gérant prétentieux qui ne s'intéresse en aucun cas au bien-être de ses clients....,1
"Service déplorable! Des prix exorbitants même pour le quartier, une honte de se faire servir une pinte à 9€ dans des verres sales",1
"pour la deuxième fois, je m'arrête au Saint Séverin. Ce n'est sans doute pas une grande table de Paris mais pour 16 euros, vous ne trouverez pas partout cette diligence du service et ce rapport qualité/ quantité/ prix: des moules marinières dignes de ce nom...",4
"Diner en famille à quatre, menu à 19,90 entrée plat dessert, bien cuisiné en rapport avec le prix. Mon fils a pris une bavette et l'a mangé avec appétit, pourtant il est difficile... Le serveur est très agréable et le service a été rapide. Nous...",3
"Notre "" repas"" dans ce restaurant aura été l'unique point noir de notre séjour à Paris. Il fallait pourtant s'en douter ...le quartier est un repère à touristes. N'empêche, on peut espérer quelque chose de passable et bien, même pas! Échantillon des déceptions: longue attente,...",2
Nous y sommes allés fin octobre 2016 à quatre en terrasse. Il n'y a que l'emplacement qui est bien devant l'église Saint Séverin. Les plats : boeuf bourguignon et fondues que nous pris n'étaient pas bons et chers en fait on paye l'emplacement et non...,2
Au coeur de Paris et du quartier latin cet hôtel permet de profiter de la proximité de Notre dame et surtout des restaurants et de l'ambiance du quartier Saint Michel. Le petit déjeuner est à la hauteur. Par contre les chambres sont un peu petites....,3
De passage à Paris en promenade moi et mes amis à St Michel dans le cartier latin .on appris la décision de dîner dans ce restaurant honnêtement vus les commentaires je voulais pas rentrer mais je me suis laisser convaincre par le serveur .cadre assez...,4
En week-end touristique en amoureux nous sommes rentrés un peu par hasard dans ce restaurant du quartier Latin.. C'est seulement après avoir passé commande et en attendant notre entrée que nous avons consulté les avis sur TripAdvisor. . Après avoir lu les critiques des clients...,2
"Attrappe touriste! Pas bon, service long...si vous cherchez une bonne brasserie ce n'est pas ici! Si vous cherchez une vue en terrasse pour boire un coup, c'est peut-être pour vous!",1
"très bon restaurant , rapport qualité prix excellent, équipe sympa et dynamique , je le recommande à tous sans hésitation",5
"D'abord, un p'tit tour aux toilettes pour se laver les mains : sale !  Entrée : Pour moi, escargots qui avaient tous le goût de moisi ! J'ai demandé une autre assiette, idem, je les ai tous recrachés... Quant à la salade de chèvre de...",1
"Service lent et désagréable.  En fait je n'ai jamais vu un service aussi pourri depuis longtemps. On nous a engueulées quand on a fait la remarque que pour 1 panaché, 1 picon-bière et un plateau de fromage (pas de cuisson là-dedans, n'est-ce pas...) 30 minutes...",1
"Ce ""restaurant"" est ma plus mauvaise expérience. C'est un honte. Par où commencer. Les toilettes ? le lavabo hommes ne marche pas et le lavabo femmes l'eau coule avec peine. Bonjour l'hygiène. Les salades sont médiocres. Mon amie a pris une salade Périgourdine (annoncé sur...",1
"Et dire que ces restaurants représentent la France aux yeux des étrangers... J'ai honte. Au début, tout commençait bien... Serveuse agréable, service rapide.. Les plats arrivent, rien de transcendant.... La saucisse frite des enfants est un banale saucisse chimique, la salade périgourdine baigne dans la...",1
"De passage ds le quartier latin nous avons fait une halte. Piège à touriste.  menu basique. Et au desssert poire belle hélène. Poire piquée. On le fait remarqué au serveur, qui nous répond que les cuisiniers ont ""fait une boulette""...nous n'avons pas fait d'escland, rien,...",1
"La profusion de Restaurants dans le quartier nous fait choisir cette brasserie avec terrasse à l'écart de la foule. Installation sommaire, mais nous sommes dans une Brasserie et non un restaurant. Donc on s'en accommode car nous sommes au calme.  Menu à 19,90, plutôt honnête...",2
"Entrée par hasard, une fois installée je prends un peu peur au vu des commentaires. Effectivement ce n'est pas un grand resto, service moyen, accueil correcte. Nous avons pris une formule à 13€ (entrecôte frites ou gratin) cela vaut son prix...l'entrecôte est une belle pièce...",3
"Peu d'intérêt pour ce restaurant en pleine zone touristique du quartier latin. La restauration est quelconque, mais la table en terrasse devant l'église Saint Severin n'est pas désagréable.",2
"Soirée en amoureux à Paris...  On s'arrête pour prendre un verre en terrasse : le bière pression n'est pas bonne  Les WC sont sales, pour y accéder, il suffit de suivre les mouches Le serveur a largement la place de passer devant notre table, non...",1
"Nous avons attendu 30 minutes pour recevoir une commande avec erreur et une fois arrivée sans goût. Le cadre est sympathique mais la carte est hors de prix pour ce qui est servi et sans sourire. Et pour ne rien gâcher au plaisir, les serveurs...",1
"Euh comment dire ???  L'accueil est à revoir intégralement !!  Nous avons pris un Menu à 10€ ... il vaut son prix !!! Ne surtout pas commander de menu à 16€ , bien trop cher payé pour la qualité .. Qualité médiocre , pour un...",2
"Entre amis, nous décidons de nous arrêter manger dans cette brasserie à midi au demeurant sympathique. Accueil des plus froid et serveur qui oublie de sourire. Les cocas arrivent dans des verres déjà remplis :-( les entrées vraiment décevantes (saucisson en carton), les salades justes...",2
Situe pres de la caisse on entendait les serveurs insulter les clients. Les plats arrives avec 30min decart... les croques monsieur brules. Le parmesan pour les pates devaient etre perime tellement il sentait mauvais. Une honte a la cuisine... passez votre chemin,1
"Service déplorable, j'ai entendu le serveur dire à une cliente pas très loin de moi : ""j'ai envie de vous mettre une baffe dans la gu..."". J'ai vraiment été choqué car même si une cliente est stupide, on lui parle pas comme cela surtout devant...",1
Un service horrible ... des plats qui m'ont rappelés mon enfance ! ... (cantine scolaire). Passez votre chemin !  Seul le prix est un point fort... En même temps vu la qualité du repas cela reste trop cher ! Bref plus jamais !,1
"... donc si vous voulez y entrer, ne consommez que ce qui peut se prendre avec une paille ! Salade périgourdine minimaliste et aux feuilles noircies avec un bout de foie gras fade sur un toast rassis ... je n'exagère malheureusement pas! Le reste à...",1
"Un verre en terrasse ...mais c'est tout !... Service long et non professionnel. Les serveurs doivent retenir par coeur les commandes, et apparemment ça ne fonctionne pas du tout à chaque fois, ils sont obligés d'y retourner pour se faire confirmer les plats... en voyant...",2
"Nous avons beau savoir que cette rue est un piège à Touristes, parfois l'urgence fait que l'on va au plus prés.....d'une déception annoncée ? C'est un sans faute, rien pour vous donner envie d'être tolérant dans ces quelques lignes. Je regrette l'image déplorable que les...",2
Nous nous sommes installé sur la terrasse car le macaron tripadvisor choice 2015 était collé en vitrine. Hors une fois installé nous avons vérifié et nous nous sommes rendus compte que c'est tout simplement un mensonge! Suite à quoi nous somme partie sans consommer... Ces...,1
"C'est juste nul, les serveurs ne disent pas bonjour et merci, on demande de faire la monnaie sur un billet ils ne veulent pas, aucun accueil, c'est cher, je rentre à l'intérieur le serveur passe avant moi il me claque la porte au nez alors...",1
J'y suis allé avec des amis venus à Paris pour quelques jours et étaient déjà attablés quand je suis arrivé. Je les en aurais déconseillé sinon.  La qualité de la nourriture : c'est du surgelé bas de gamme et ça se sent. Le boeuf bourguignon...,1
"Rentre-dedans commercial à même la rue, qui pour notre part a fonctionné vu le sympathique du serveur, qui nous a proposé, pour nous convaincre de ne pas aller à la concurrence, un apéritif offert. Résultat : le cadre n'est pas désagréable, mais, quant au fond...",1
"L'accueil est très commercial, mais une fois entré dedans, ce sont des serveurs sans sourire qu'on y trouve. Le repas ressemble à un repas de cantine. Le seul élément de bien, c'est qu'on est assis confortablement. Mieux vaut éviter les raclettes pour ne pas tomber...",2
Il pleuvait sur Paris ce midi-là et nous nous sommes arrêté pour déjeuner. Vu l'état des sièges nous aurions dû faire demi-tour ; vu les mauvaises odeurs dans les toilettes nous aurions dû repartir au galop. Quant à la cuisine : médiocre.,2
Venue boire un coup et se restaurer en admirant le bar je fait nez à nez avec des cafards rampant sur les murs prêt de la machine à café ... Beurk je n'ai finalement pas mangé ici Je déconseille fortement !!,1
"Service mal aimable, aucun effort de la part du serveur, en gros ""service minimum"". Les plats sont simples et j'ai pris le burger, je n'ai pas pu le finir (à cause du goût) il était composé de 2 pains un steak et 2 feuilles de...",2
"Le service est horrible, ils nous parlent mal et sont très lent. Ils sont désagréables, inattentifs ... La nourriture est très moyenne et je ne vous parle pas des toilettes.  Je vous déconseille ce restaurant.",1
Restaurant convivial très impliqué foitballistiquement merci a Mickaël pour tous ses conseils avisés  Rdv en janvier pour le ballon d or 2015,4
Pour 10.90€ nous avons bien mangé. Juste les quantités qui sont un peu faibles. Ce nest peut etre pas de la cuisine gastronomique mais pour 10€ dans un quartier touristique a Paris nous avons ete tres content de ce restaurant. L'accueil fut très chaleureux (merci...,5
"Tout d'abord l'accueil a été très mediocre, ensuite le service pas du tout professionnel, le serveur était limite arrogant et pour finir une fondue savoyarde immangeable. c'est vraiment se moquer des touristes qui viennent là pour se détendre et dépenser leur argent. Surtout n'y allez...",1
"Dans ce quartier animé il est sympa de s'installer au St Séverin. Cependant, à l'intérieur il y a pas énormément de place. Serveur gentils. Prix correct",4
"Cadre agréable,belle terrasse pour les beaux jours. 45 minutes pour servir les entrees ,45 minutes pour le plat et 20 minutes pour le dessert, un pot de glace à la vanille. Nos voisins de table, des Australiens étaient écroulés de rire. Eux aussi étaient dans...",2
Nous sommes venus boire un verre cet après-midi... La déception est très forte ! Et rarement égalée. Nous avons attendu longtemps avant d'avoir la carte. Comme notre voisin excédé. Visite aux toilettes... L'horreur. Signalée et contestée. Puis la carte nous fut lancée sur la table......,1
"Un très mauvais café. Premièrement, les prix sont excessifs, c'est du racket : 5,80 euros pour un petit jus d'ananas. Deuxièmement, le service est très mauvais : le serveur a été désagréable et revenchard. Il est clair que le café cherche à faire du chiffre...",1
Il est honteux de trouver dans un quartier touristique un restaurant aussi infâme !!! La cuisine est infecte. C est vraiment très mauvais et pour finir un patron qui tutoie les clients et qui hurle des insultes au cuisine... Bref passez votre chemin,1
"Bon accueil, mais repas médiocre, endives non égouttées, poisson à recuire, café gourmand avec bonbons !",2
"Malgré une terrasse sympa et un personnel aimable, ce restaurant est franchement à éviter. Peu de choix sur la carte, plats et boissons très très chers, cuisine sans goût. Bref, le fast food de la gastronomie française!",2
"Installé en terrasse pour un café: accueil déplorable , café infecte et 3,30€ le café !!!!! Évitez de vous y installer vous trouverez mieux ailleurs",1
"Restaurant à touristes, il vaut mieux passer son chemin. Le personnel essaie de faire de son mieux avec une patronne irrespectueuse qui n 'hésite pas à faire des remontrances devant les clients.",1
Une insulte à la cuisine française..... Un service correct mais des plats sans saveur ni originalité.... pour un restaurant parisien c'est juste pas possible.... je déconseille fortement!!!!,1
"Un service lamentable, serveurs désagréables qui hurlent et balancent de la poussière dans nos pattes en passant le balais pendant qu'on boit un verre. Après avoir oublié un sac en terrasse, mon amie et moi les avons appelés pour savoir s'ils ne l'avaient pas retrouvé,...",1
"Les assiettes sont bien garnies mais la nourriture sans raffinement.  Vins à des prix très abordables.  Service aimable.  Rapport qualité/prix plutôt moyen. Très large choix de plats et de menus a tous les prix.  Si vous avez faim, allez-y, mais pas dans l’espoir de faire...",3
"Une propriétaire infecte avec son personnel. Le personnel fume dans la cuisine. Heureusement, un seul serveur, celui qui était en charge de notre table, efficace et méritant vu les conditions de travail. Sinon cuisine banale; s'en tenir au menu à 10,90€. Dommage car salle rétro...",2
"Un double expresso a 6€ et une bouteille Evian 5,80€, un paiement CB a partir de 15€...je n'appel pas ca du commerce mais du vol avec pignon sur rue !",1
"Nous venons de prendre une salade océanique, le saumon fumé est chaud, idem pour les chevettes er la truite... Nous prions juste pour ne pas être malade... A éviter absolument!!!!!!",1
"Nous avons fait escale dans cette jolie brasserie parisienne, lors d'une visite de l'île de la cité. Nous avons été agréablement surpris par la qualité des mets proposé. L'accueil été sympa. Mais le prix est un peu excessif.",3
"Serveuse extrêmement désagréable, un ton fortement condescendant. A éviter, surtout que d'autres lieux moins chers et avec un meilleur service sont disponibles à proximité immédiate.",1
"Pour boire un verre en cet après midi ensoleillé de juin, nous sommes à 4 à nous diriger vers des chaises alignées le long d'une paroi. Nous souhaitons déplacer nos chaises pour pouvoir prendre notre café de façon conviviale, en face à face et non...",1
"Tartine dans le sens de la largeur  Un tout petit peu de beurre Un cafe crème sans saveur Bref seul l'emplacement a de la valeur Pour 9,10€  faut aller ailleurs",2
"Produit pas frais, j ai essaye un menu de dix euro. Ce n'est pas terrible!!!! La glace est dans une petite boîte. La fondue savoyarde est dégelasse!!! Présentation 0. Je ne comprends pas pourquoi ils ont reçu le prix d'excellence de TripAdvisor . C'est la...",1
Attrape Touristes  Plat composé de produits industriels / congelé (salade océanique avec crevettes sans goût décongelées) WC douteux avec odeurs Aucun prix justifiés,1
"Le syndrome attrape-touristes : hors de prix, mauvais et service nul. Boissons et plats hors de prix, service déplorable, condescendant, lent et désagréable. Toilettes payantes",1
"Tous les restaurants de la rue se ressemblent, on sait qu'ils sont faits pour les touristes, on a toujours l'espoir de bien tomber ... Celui-ci ne déroge pas à la règle ... tables très serrées, décor vieillot, odeur nauséabonde dans la salle, plats moyens, surgelés,...",1
Un déjeune rapide et rester sur le petit menu à 10euros ok  Sinon passer votre chemin trop chère et attrape touriste  Si vous rester sur le menu sa passe pour 10 euros c ok Saucisson cuisse de poulet tarte au pomme rien d extraordinaire mais...,3
"Des tarifs excessifs qui pourraient être justifiés par la situation face à 'église saint séverin mais le choix des produits servis ( industriels ) , bas de gamme est affligeant. A éviter .",1
"L'accueil donne le ton..................., nous nous installons en terrasse pour profiter de cette belle journée. j'ai voulu déplacer la chaise pour m'installer face à mon fils et quelle surprise la chaise est attachée par une chaine au sol et le serveur m'explique que nous devons...",2
"Mauvais accueil, on est placé comme des sacs, là où il y a de la place.  Service à la va-vite, les serveurs sont pressés et se moquent totalement du client. La salade paysanne est quelconque, le croque madame insipide, la crêpe mixte sans saveur. A...",1
Attention SVP ne pas confondre les deux restaurants très souvent je lit des articles qui ne corresponde pas au restaurant   le saint Séverin les photos poster sur tripadvisor ne corresponde pas au restaurant saint Séverin mais l'auberge saint Séverin malheureusement le saint Séverin essuie toute...,4
"nous sommes allez manger a  4 pers AU SECOURS FUYEZ VITE on a pas osez repartir nous aurions du ! vetuster incroyable fils electriques qui pendent de partout table bancale nourriture plus que mediocre a fuire abasolument ,nous avons demander de la moutarde nous avons...",1
Nourriture et service horrible !!! Encore du jamais vu ! C'est la honte de la france pour les touristes,1
"Ce restaurant est situé dans un lieu très touristique, et au premier abord invite à entrer. Au final, après avoir passé commande, vous allez être servi dans des assiettes ébréchées, d'une propreté douteuse pour un prix exorbitant. Vous n'en aurez pas pour votre argent (tartiflette...",1
"Parisien depuis quelques années, ma première expérience dans ce restaurant sera la dernière. Les prix sont excessifs pour le service et par rapport a la qualité du produit servi. Un thé vert à la menthe a 5€80 sans menthe.. Lorsque l'on demande un peu de...",1
"Ce restaurant se situe dans le quartier Saint-Michel qui accueille de nombreux touristes. Le cadre est simple mais correct. Le service est sympathique mais moyennement efficace. La cuisine est correcte et les menus de sont pas trop chers. En revanche, au niveau des boissons, c'est...",3
Nous avons pris les moules marinières .... trop d'herbes ! .... et une soupe de poisson .... pas exceptionnelle !  Restaurant bruyant le dimanche midi .... de nombreux touristes qui doivent avoir une idée étrange de la cuisine française !,3
Un café le matin dans un fauteuil. Le lieu est tranquille. Plutôt mieux qu'ailleurs... Je n'ai pas testé le restaurant.,5
Très bon accueil personnel chaleureux et souriant la patronne et très attentive au bon déroulement du service j'ai commander des moules marinières et je n'étais pas déçu du résultat  tres bien servie et copieux je recommande ce lieux sympathique .......  Je tien a préciser que...,5
Et je suis gentil : ces imbéciles arrivent a bousiller une simple souris d'agneaux en la noyant sous une sauce infecte tendance vomie de chien. La viande est en elle même correcte mais donne l'impression d'avoir été bouillie. Le serveur prend tout ça de très...,2
"Après les fastes de la vue sur Notre Dame, une envie de boire un verre nous prends. Nous nous arrêtons ds ce restaurant du quartier vivant St michel. De premier abord tout semble sous contrôle. Petit fauteuil rouge, mobilier ancien... Nous nous asseyons et là...",1
"Voilà un endroit que je vous recommande, un accueil très agréable au premier abord. On vous accompagne à votre table et vous avez le temps de composer votre repas sans que l'on vienne vous presser. Nous avons pris une dorade et une souris servis accompagnés...",5
ballade dans le quartier 27 déc soirée glaciale !! Nous sommes attirés par la fondue savoyarde et la tartiflette vu le temps !! Plats honnêtes fondue plutôt bonne! Tartiflette 5morceaux de fromage un peu juste! Serveurs plutôt sympa! Patronne exécrable ! parle mal à son...,3
"Nous sommes allés dans ce restaurant le deuxième jour a Paris , accueil plutôt bien , propreté Ok, vous pouvez manger en toute sécurité   ,par contre un peu cher mais bon vous êtes au quartier latin !!!!!!",3
"Restaurant à fuir. Piège à touristes. Tartiflette horrible et prix très élevés. Hygiène douteuse. Un bon conseil, passez votre chemin !",2
"Une petite envie de boire un verre dans le quartier ??? FUYEZ ne passez surtout pas la porte de cet établissement... la famille crado y a déposé ses bagages ....  à priori, ça semblait bien parti... une petite table agréable, des fauteuils confortables et une...",1
"Il était trop tard pour manger et un garçon dans la rue nous avons commencé à dire que les plats et des offres et à notre grande consternation que nous .... fois à l'intérieur, tout était différent le menu beaucoup plus cher, demandez la boisson...",1
"Attrape touristes de base. Raclette avec 5 bouts de fromage, 3 pommes de terre grosses comme des noix, 1 tranche de jambon et énormément de salade en sachet. Poêlons gras. C'est le jour où j'ai mangé dans cet établissement que j'ai appris qu'il fallait jeter...",1
"Un déjeuner sur Paris pour profiter des derniers rayons de soleil de l’année nous nous arrêtons dans une ruelle sympa, la terrasse du restaurant fait face à l’église st Severin et le cadre est plutôt sympathique. Rien à dire sur le service les serveurs sont...",2
"Etablissement très bien placé, serveuse agréable mais le contenu des assiettes est abominable: escalope de veau comme rincée à l'eau de vaisselle, spaghettis quelconques, jamais mangé aussi mal depuis le resto U",1
"Bonne ambiance, le choix de Bavette est parfait, quoi que les frite sembles congelées tout était ok, L'ambiance, le emplacement et le menu",3
Une carte avec un menu a 10€ alléchant comme tous les restos du quartier... On est rentré avec un accueil sympathique et un serveur très accueillant... On passe commande et je demande de changer les frites pour de la salade... Le chef de Salle accepte...,1
Serveur extérieur tout à fait désagréable! Les prix des consommations sont exhorbitants.  À ne pas conseiller même pas pour boire un verre!,1
"Nous sommes entrés dans ce restaurant en famille, un soir d'été. Il n'y avait pas encore beaucoup de monde lorsque nous sommes arrivés. Nous avons été installés à l'intérieur. Dès l'arrivée, passage aux toilettes, qui s'ouvrent avec un jeton. Le toilette que j'ouvre n'est pas...",2
"Un piège à touristes infâme !!! De la ""bouffe"" que je ne donnerai pas à mon chat, un jus d'orange à 6€ avec plus de pépins que de jus, un accueil et un service épouvantable. Nous étions 7 et en final, plusieurs ont été malades.",1
"Très déçu!!! On nous propose un menu a 10euros avec entrée un plat et un dessert.franchement pas bon,je n'oserais même pas proposer ça a mon chien.Le décor laisse a désire je me suis pencher derrière le bar tout étais vraiment très sale,comme piège a touriste...",1
"absolument infâme: de la soupe en brique, du jambon sous vide, une souris d'agneau que de nom  et servie froide  . Bref, un resto à éviter absolument sous peine d'être malade",1
"Nous voulions déjeuner en terrasse dans cet établissement un samedi midi. Nous étions 4 adultes et 5 enfants. Lorsque nous sommes arrivés, la terrasse était pratiquement vide. Nous avons demandé à être installés sous l'auvent car il fait soleil et très chaud. Le serveur nous...",1
"Prix excessif ! Une cuisson qui ne correspondait pas à ma demande,une cruche d'eau sale , une bière sans gaz , un serveur qui vous prend de haut,sauce industrielle,présentation des assiettes à revoir fortement. Ce restaurant est un attrapé touristes je vous deconseille fortement!",1
"Nous avons été attiré par les plateaux de fruits de mer et nous ne l'avons pas regretté ! Fraîcheur, et abondance au rendez-vous, service rapide et agréable. Garçons souriants. Nous étions à l'intérieur bien installés dans des fauteuils club. Nous y retournerons avec plaisir.",4
"C'est vrai, la rue de la Harpe est sympa et le resto a l'air accueillant. Mais, c'est à peu près tout. Le personnel fait ce qu'il peut, mais ce n'est pas suffisant. La nourriture est à la limite. Vraiment un piège à touristes. Ma femme...",2
"Aux allures moins touristiques que les restaurants alentours et le serveur me garantissant des plats ""fait maison"", je me suis décidé à diner dans ce restaurant (enfin, si on peu appeler ça comme cela…)  J'ai commandé un magret grillé sauce au poivre accompagné de pommes...",1
Attiré par un endroit aux abords chaleureux ; les plats n'étaient pas bons du tout ... la brochette de saint jacques pas cuites servi avec du riz qui avait encore le goût du riz essoré mais pour cloturé le tout c'est que cela coûte très...,1
"On est allé à ce restaurant le 15-02-2014 et on a adoré.  L'accueil était super, les entrées excellentes, repas principale super avec beaucoup de goût, sans oublier les desserts hummm et on a même eu un petit surplus (petit verre de cognac à la fin...",4
"Aguiché par un serveur sur le pas de la porte, ce dernier nous fait l'article en nous montrant le chevalet avec un menu à 10 euros. Les plats composant ce menu nous convenant, nous rentrons. Le serveur nous installe à une table, nous apporte la...",1
"Nous sommes arrivés devant ce restaurant à 19h30, deux cartes nous étaient alors présentées, un menu à 12 euros ainsi que celui à 16 euros.  On nous a présenté ces deux cartes de menu ainsi que celles des mets. Après avoir fait le tour des...",1
"Accueil précaire ; personnel surbooke; bouffe industrielle... Je ne reviendrais plus dans ce piège a touristes, dans le quartier latin... :-((",2
"Un accueil des plus mediocres par la patronne... Menu a 10 euros : ne vous attendez pas a avoir de la qualité! La rillette... Quel honte!  Le poulet frite... Aucun gout, une sauce infame, les frites passables Le dessert une creme caramel faite maison selon...",1
"Un diabolo  a plus de 5E80 (car supplément sirop à 60 centimes ... pourtant la couleur fraise est très claire  ....) un Schwepps  à 5,80aussi (issu du bouteille:  alors discount ou vraie marque ..) , un Picon d'une couleur claire ou la serveuse nous apprend...",1
"Une véritable arnaque affichant ""cuisine de tradition française"".  Des prix exorbitant pour les boissons, des quantités ridicules servies dans des assiettes à dessert, une qualité médiocre. Des appellations trompeuses, par exemple, « saucisses frites » signifie deux petites saucisses de francfort avec quelques frites… Dans...",1
merci on se doute bien qu il ne s agit pas d un gastronomique comme nous l a fait remarquer le serveur ironique neanmoins les poils dans le plat je m en serai bien passé!hors de prix!,1
Après avoir attendu 20 min pour une crêpe au chocolat ( en fait servi avec du nutella et non du vrai chocolat) la crêpe était grasse au goût de carton et un coca limite coupe à l'eau.... Bof passez votre chemin,2
"Très décevant .on vous appâte dans la rue ,la patronne très peu sympathique n'a que un objectif ,vous caser sur sa terrasse pour que vous commandiez au plus vite .et encore cela ne lui redonne même pas le sourire Les différents plats sont tous vraisemblablement...",1
"J'ai bien mangé, mes convives aussi et à ce titre ça va (même si dans ma salade on a fait disparaitre mystérieusement les noix sans s'en excuser en me le dire. pas cool. ) Bref, c'est du niveau d'une brasserie parisienne mais dans un joli...",3
"La seule chose qui soit «très...» dans ce restaurant est «très touristique». On vous accroche à l'entrée et aussitôt assis, les choses se gâchent. Très touristique. Pas très poli. Pas très bon. Pas très sympathique. Mais bon, c'était peut-être un mauvais soir. Et attention, il...",2
"À notre arrivée patronne mal aimable nous montrant du doigt une table dans un coin du restaurant. Serveur catastrophique d'une impolitesse caractérisée ne connaissant rien au service, pas de fourchette à crustacés pour le plateau de fruits de mer. Celui-ci refuse également de préparer ma...",1
"Repas mauvais, mauvais environnement: des serveur désemparéss, une patronne qui ramasse les morceaux de pain tombés par terre pour les remettre dans le pannier, dégoûtant de voir comment prend à part les plats à base de pain et de la nourriture que les serveurs enlevés,...",1
"Après avoir vu des cartes avec des prix élevés, on s'est dit que les portions étaient peut être grandes. Du tout. La plus minuscule des omelettes jamais servi, et un croque monsieur qui était tout simplement une tranche de pain avec un peu de fromage...",1
"Marchions dans la rue et un serveur nous a offert une très bonne nourriture pas cher et d'excellente servcio était tout le contraire, très cher de manger à ce restaurant, les plats sont mal préparés dans le restaurant minable et très sale, mauvais service à...",1
"Je me suis senti très gêné d'avoir dîner dans un restaurant à Paris, le Quartier Latin, avec un mauvais service si mauvaise nourriture et aussi tellement cher que les étrangers peuvent penser .... une honte, aucune autorité en France peut faire une inspection pour ce...",1
"Ce café / restaurant est parfaitement situé dans l’îlot saint Séverin, au cœur du quartier latin. L'ambiance particulière de se quartier nous invite à nous poser un instant. Cet établissement est en angle et offre une superbe vue de la terrasse sur l'église aux magnifiques...",4
"Le restaurant devrait s'appeler ""Canada Dry"" : il a l'apparence, d'une brasserie, la couleur d'une brasserie mais ce n'est pas une brasserie ! Un piège à touristes tout au plus. Nous avions commandé une fondue bourguignone et après un temps d'attente infini, nous avons eu...",1
"Premièrement un mauvais acceuil, des serveurs peu attentifs aux besoins des clients, pas très aimables, et un peu moqueurs. Ils oublient ce que vous demandez au bout de 2 minutes (sans prendre soin de noter quoi que çe soit de votre commande), et coupent le...",1
"Les commentaires ont l'air majoritairement négatifs sur cet endroit. Je n'ai pas testé la partie restauration, mais je suis allé par deux fois boire un verre dans ce bar et bizarrement c'était plutôt agréable à chaque fois. Un endroit sympa, dans un quartier vivant. Une...",3
Le restaurant est très bien placé au coeur du quartier latin. La décoration est typique et la cuisine très bonne. Le seul point négatif a été le dessert. Nous avions pris des crêpes qui semblaient avoir été faites la veille. J'ai renvoyé la mienne presque...,4
"Des serveurs qui ne connaissent pas la carte, des boissons pas du tout fraîches et bourrées d'alcool, aucune originalité! Je déconseille !",1
"Située à côté de la Fontaine St. Michel, cette brasserie est idéale pour passer un moment entre amies. Les serveurs ne sont pas les plus aimables du quartiers et sont souvent un peu débordé, mais le service reste dans l'ensemble correct. La déco est sympa,...",3
"Beau petit resto. Bon choix dans la formule à 15 euros (lapin, cuisses de grenouille, pavé de boeuf, etc). Tentez de décrocher la table sur le bord de la rue avec la banquette rouge. C'est la meilleure  place pour déguster votre repas en épiant tout...",5
Nous y sommes allés 2 fois et à chaque fois nous avons très bien manger. Le service est un peu lent mais les repas nous arrivent chauds.  La première fois nous avons mangés de la fondue bourguignone et la deuxième fois du saumon. Il est...,4
"Repas moyen, mais quelle ambiance : des serveurs moqueurs, une patronne qui ramasse les morceaux de pain tombés par terre pour les remettre dans le pannier, des  prix majorés après 22 heures (même si vous êtes arrivé à 20 heures 30 et que vous n'avez...",1
"Bien que le cadre soit charmant, je deconseille fortement ce restaurant pour sa patronne qui est particulierement desagreable tant avec les clients qu avec ses propres serveurs....",1
"Simple bistrot proposant des menus proposés. Très bonne nourriture, le service et le rapport qualité/prix était mieux que la moyenne dans un très compétitif.",3
